dateTimeStmp,raw_MM_Wh,raw_Tenant_Wh,Exact_Date,year,D-3,D-2,D-1,D+1,D+2,D+3
2023-01-04 00:00:00,8276.55,6451.57,Jan 4th 2023,2023,7993.92,7755.88,7502.4,8829.72,9188.75,8592.7
2023-01-04 00:15:00,8278.63,6350.17,Jan 4th 2023,2023,7760.3,7824.42,7791.07,7415.5,8011.12,9013.97
2023-01-04 00:30:00,7957.79,5802.89,Jan 4th 2023,2023,7924.57,7137.95,7193.2,7401.62,6990.58,8084.63
2023-01-04 00:45:00,7464.58,5547.17,Jan 4th 2023,2023,8126.38,6942.7,7058.55,6854.28,7431.23,7588.02
2023-01-04 01:00:00,6754.35,5004.47,Jan 4th 2023,2023,7492.17,6575.33,6818.25,6289.82,6578.68,7448.9
2023-01-04 01:15:00,6543.5,4791.87,Jan 4th 2023,2023,6809.65,6233.7,6516.15,6203.97,6264.02,8179.08
2023-01-04 01:30:00,6790.15,4996.92,Jan 4th 2023,2023,6828.7,6492.27,6152.75,6031.53,6621.45,7469.55
2023-01-04 01:45:00,6556.6,4747.43,Jan 4th 2023,2023,6250.7,6071.82,6015.17,6288.33,6429.85,7151.35
2023-01-04 02:00:00,6442.05,4654.68,Jan 4th 2023,2023,6263.35,6072.97,6073.67,6052.32,6000.63,7279.43
2023-01-04 02:15:00,6260.98,4506.67,Jan 4th 2023,2023,5892.7,5962.17,6423.6,6122.05,6230.17,7646.03
2023-01-04 02:30:00,6309.23,4267.47,Jan 4th 2023,2023,6362.33,5778.9,6683.78,5954.35,6286.05,6948.48
2023-01-04 02:45:00,6198.53,4304.97,Jan 4th 2023,2023,6689.2,5843.82,5900.93,6076.93,6296.37,6768.98
2023-01-04 03:00:00,6234.72,4462.58,Jan 4th 2023,2023,5977.23,5719.38,5959.2,5723.63,5760.08,6485.05
2023-01-04 03:15:00,6036.85,4258.25,Jan 4th 2023,2023,5755.8,5559.92,5937.42,5577.83,6004.95,7522.63
2023-01-04 03:30:00,5987.1,4215.48,Jan 4th 2023,2023,5774.68,5881.38,5738.42,5673.02,6169.13,7135.83
2023-01-04 03:45:00,6110.65,4380.3,Jan 4th 2023,2023,5700.28,5691.7,5694.48,6071.83,6113.52,6577.8
2023-01-04 04:00:00,5857.05,4086.77,Jan 4th 2023,2023,5557.03,5872.57,5512.67,5839.48,5996.5,6238.72
2023-01-04 04:15:00,6017.07,4220.3,Jan 4th 2023,2023,5456.03,5705.82,5657.22,5788.32,5712.87,6938.68
2023-01-04 04:30:00,6230.7,4435.5,Jan 4th 2023,2023,5450.62,5535.23,5703.9,5721.85,5889.53,6883.68
2023-01-04 04:45:00,6133.12,4303.27,Jan 4th 2023,2023,5239.0,5768.15,6305.05,6204.37,5865.25,6404.05
2023-01-04 05:00:00,6375.68,4252.35,Jan 4th 2023,2023,5748.98,6036.27,5705.68,6199.05,5765.9,6256.3
2023-01-04 05:15:00,5965.37,4223.15,Jan 4th 2023,2023,5517.77,5713.37,5805.68,5570.4,5837.12,6933.53
2023-01-04 05:30:00,5797.05,4018.02,Jan 4th 2023,2023,5324.2,6064.43,6878.93,6940.83,7034.75,7125.12
2023-01-04 05:45:00,6355.47,4599.37,Jan 4th 2023,2023,5269.15,5746.6,7252.83,6952.13,7381.87,6619.77
2023-01-04 06:00:00,6598.33,4827.1,Jan 4th 2023,2023,5571.32,5863.57,6767.82,7189.93,6800.38,6572.55
2023-01-04 06:15:00,7227.55,5377.38,Jan 4th 2023,2023,6719.38,6080.77,7616.77,6999.0,6969.07,6970.5
2023-01-04 06:30:00,8206.05,6044.95,Jan 4th 2023,2023,6648.3,7097.62,7308.98,7373.08,7401.55,7251.73
2023-01-04 06:45:00,8749.92,6594.45,Jan 4th 2023,2023,6854.43,6852.73,8475.78,8624.82,8550.68,7205.03
2023-01-04 07:00:00,9047.1,7058.43,Jan 4th 2023,2023,6137.25,7207.72,8874.72,9559.43,9446.52,7934.5
2023-01-04 07:15:00,9121.78,6942.28,Jan 4th 2023,2023,6164.27,6767.32,9216.8,9047.22,10013.52,8832.58
2023-01-04 07:30:00,8904.9,6657.82,Jan 4th 2023,2023,6385.63,6826.28,8785.28,9248.62,9052.37,8939.55
2023-01-04 07:45:00,9244.68,6825.85,Jan 4th 2023,2023,6952.45,7694.92,10385.18,9200.52,10247.33,8358.23
2023-01-04 08:00:00,8579.52,6351.63,Jan 4th 2023,2023,6728.93,7813.65,10321.85,10034.67,10137.28,8713.65
2023-01-04 08:15:00,8318.28,6336.6,Jan 4th 2023,2023,6348.52,7537.07,9531.07,10156.95,9781.25,8767.05
2023-01-04 08:30:00,8960.95,6847.3,Jan 4th 2023,2023,6299.65,7932.67,9927.18,9483.73,9830.32,9835.25
2023-01-04 08:45:00,9106.1,6952.28,Jan 4th 2023,2023,7873.63,7954.92,10488.27,8808.77,10169.3,9628.4
2023-01-04 09:00:00,9148.62,6766.27,Jan 4th 2023,2023,7742.32,9221.13,11270.53,9838.18,10493.42,9159.35
2023-01-04 09:15:00,9234.13,6990.13,Jan 4th 2023,2023,6972.9,9026.6,10423.6,9978.77,10324.5,10577.77
2023-01-04 09:30:00,8663.72,6736.97,Jan 4th 2023,2023,7196.65,9328.02,9315.53,9255.88,9569.0,11279.7
2023-01-04 09:45:00,8433.6,6015.42,Jan 4th 2023,2023,8552.62,8886.48,10086.98,8843.95,10450.35,10240.73
2023-01-04 10:00:00,8813.2,6490.33,Jan 4th 2023,2023,8701.68,9197.32,11170.77,9248.53,10758.03,9421.35
2023-01-04 10:15:00,8303.77,5986.57,Jan 4th 2023,2023,7756.2,8825.45,10070.63,9348.52,9635.73,10314.7
2023-01-04 10:30:00,9087.28,6030.3,Jan 4th 2023,2023,7805.68,9188.28,9653.62,9304.88,9790.08,9951.33
2023-01-04 10:45:00,8361.58,5967.12,Jan 4th 2023,2023,8069.98,9396.63,10662.22,8888.37,9811.8,9779.18
2023-01-04 11:00:00,8709.18,5763.08,Jan 4th 2023,2023,8480.88,10499.32,10583.53,8346.38,10227.67,9364.9
2023-01-04 11:15:00,8017.22,5314.13,Jan 4th 2023,2023,7922.4,9863.78,10738.55,9386.12,9697.0,9747.28
2023-01-04 11:30:00,8245.6,5622.6,Jan 4th 2023,2023,7511.37,9910.95,10090.6,9309.7,9513.62,9573.03
2023-01-04 11:45:00,8486.9,5763.47,Jan 4th 2023,2023,8767.1,9511.85,10907.88,8476.87,10277.87,9380.4
2023-01-04 12:00:00,8793.4,5816.32,Jan 4th 2023,2023,8394.02,9082.97,9901.33,8867.82,10569.12,9188.53
